	gene	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed	symbol
285	ENSG00000128487	70.0748431777314	54.0334433524541	7.41068488644603	14	SPECC1
286	ENSG00000128513	137.188777488798	43.605936740577	13.7627005033998	13	POT1
287	ENSG00000128534	360.243912110873	339.367942459273	109.042934757706	136	LSM8
288	ENSG00000128928	190.485137088763	197.174670479131	323.952796464641	730	IVD
289	ENSG00000129128	768.849335710603	748.884565762083	273.136671529011	442	SPCS3
290	ENSG00000130066	313.856339866459	291.970185132559	551.566689405483	487	SAT1
291	ENSG00000130449	116.462415422145	129.869855075197	289.016710571395	285	ZSWIM6
292	ENSG00000130726	1036.31810333265	1022.84360311049	1484.25431582819	1436	TRIM28
293	ENSG00000130827	545.794201088528	326.096570407793	1293.69384731958	795	PLXNA3
294	ENSG00000131238	1137.97597442147	1260.7803448906	629.908215347912	580	PPT1
295	ENSG00000131386	219.107256133188	205.706266797939	59.2854790915682	45	GALNT15
296	ENSG00000131459	779.70600155504	715.706135633383	1104.19204808046	1224	GFPT2
297	ENSG00000131584	186.537258599877	107.118931558374	459.462462959654	586	ACAP3
298	ENSG00000131724	1302.79990133247	1038.95884060157	752.713850609018	591	IL13RA1
299	ENSG00000131746	111.527567311037	176.319657255377	11.6453619644152	18	TNS4
300	ENSG00000131747	5393.78898544088	4851.63443996246	2173.44801026767	1919	TOP2A
301	ENSG00000132274	85.8663571332766	66.3568602573998	8.46935415593832	20	TRIM22
302	ENSG00000132359	104.618779955486	48.3457124732484	16.9387083118766	13	RAP1GAP2
303	ENSG00000132386	120.410293911031	78.6802771623455	23.2907239288304	26	SERPINF1
304	ENSG00000132549	50.3354507333	53.0854882059198	196.912484125566	206	VPS13B
305	ENSG00000132849	150.019382577679	70.1486808435369	17.9973775813689	22	PATJ
306	ENSG00000133030	1045.20082993264	771.635489278906	1494.84100852311	1505	MPRIP
307	ENSG00000133048	140.149686355463	138.401451394005	49.7574556661376	42	CHI3L1
308	ENSG00000133103	566.520563155181	394.349340958262	236.083247096781	203	COG6
309	ENSG00000133119	488.549962999677	504.312137956238	258.315301756119	199	RFC3
310	ENSG00000134057	2147.64589795414	1834.29320854384	886.106178565046	756	CCNB1
311	ENSG00000134107	456.966935088587	415.204354182016	200.088491934043	204	BHLHE40
312	ENSG00000134242	42.4396937555275	45.5018470336456	3.17600780847687	6	PTPN22
313	ENSG00000134247	666.204494999559	689.163391530423	312.307434500225	310	PTGFRN
314	ENSG00000134440	1229.76414928808	1206.74690153814	810.940660431094	623	NARS
315	ENSG00000134470	91.788174866606	85.3159631880854	21.1733853898458	26	IL15RA
316	ENSG00000134590	496.445719977449	473.029618120607	762.241874034448	769	RTL8C
317	ENSG00000134684	883.337811888305	689.163391530423	459.462462959654	447	YARS
318	ENSG00000134690	277.338463844261	233.196966047434	129.157650878059	113	CDCA8
319	ENSG00000134769	215.159377644302	234.144921193968	39.1707629712147	33	DTNA
320	ENSG00000134853	1490.32412955457	1550.85461973009	560.036043561421	514	PDGFRA
321	ENSG00000134884	351.361185510879	320.408839528588	586.502775298728	552	ARGLU1
322	ENSG00000134955	47.3745418666353	70.1486808435369	178.915106544197	202	SLC37A2
323	ENSG00000135069	520.132990910767	513.791689421581	194.795145586581	176	PSAT1
324	ENSG00000135414	69.0878735555099	105.223021265305	207.499176820489	210	GDF11
325	ENSG00000135480	1107.3799161326	1346.09630807868	2227.44014301178	3228	KRT7
326	ENSG00000135506	811.28902946613	686.319526090821	1164.53619644152	1217	OS9
