	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed
ENSG00000010610	0.983187538812174	1.00245076248766	1.00942060356149	0.937948216068437
ENSG00000010626	5.47391713972517	5.83536630239928	5.91196691684272	5.94166925094536
ENSG00000010671	0.0202004719757197	-0.0465524379728348	-0.0219924569324423	-0.0464359447877683
ENSG00000010704	7.71795006812575	7.19246965762567	7.3868312127672	7.0656945927598
ENSG00000010803	6.20762656074893	6.30861310668143	6.17748487027351	5.64382513457177
ENSG00000010810	5.16005004331761	4.82312679679774	5.22111124993793	5.61637782476267
ENSG00000010818	7.19545865075527	7.13243612440924	7.1240633525664	7.0321474630297
ENSG00000010932	2.98038707602819	3.02914665454852	3.01188277367857	2.89977442256571
ENSG00000011007	8.62262908709143	8.1504719895586	8.41593178081493	8.25085627256026
ENSG00000011009	7.2295305026035	7.26119583110985	7.56640087931152	7.29868939881493
ENSG00000011021	6.91886221687635	6.79400419652715	6.79065414546578	7.04919981015354
ENSG00000011028	8.91280431937285	9.13630181159857	9.89742295100804	9.59836631831561
ENSG00000011052	8.98612890349678	9.35006354591316	8.51185387257374	9.02763099891859
ENSG00000011083	0	0	0	0
ENSG00000011105	5.99158561604923	6.40579444798971	6.03276831256335	6.36508534328041
ENSG00000011114	3.10815629644652	3.10432841412526	3.11498942917087	4.94503180971783
ENSG00000011132	6.11370660768781	6.17885050865899	5.84482429037458	6.13949914366759
ENSG00000011143	5.37756926244359	5.03943165479531	5.31440294838691	5.04611187753005
ENSG00000011198	7.31504681185262	7.71122123333438	7.23080469757982	7.34618867710421
ENSG00000011201	-0.426379116848446	-0.426446272530672	-0.401947134807634	-0.380782380737405
ENSG00000011243	6.32489841939619	6.87198394161209	7.33671082783595	7.36782837410609
ENSG00000011258	7.09232209118577	6.78811076177431	6.92237449446459	6.53986559576635
ENSG00000011260	8.39456953613301	8.21627863844937	7.85079370008806	7.86473120752742
ENSG00000011275	8.39072934869748	8.25051251699097	8.60766828798596	8.72974417143332
ENSG00000011295	7.84888929830683	7.87335666310598	8.05316154767523	7.97924550992125
ENSG00000011304	10.1210399253661	9.87722393184672	9.92306770451221	9.98693448584059
ENSG00000011332	3.53125078470206	3.46663236496672	3.60279111207802	3.67435310947784
ENSG00000011347	5.63152868676315	5.63301979871759	5.525542913294	6.13066052284887
ENSG00000011376	7.31957306815745	7.18285373417618	7.41620351782087	7.39807608125014
ENSG00000011405	2.91409257772701	2.93250335539963	2.87023306693001	3.30871930634905
ENSG00000011422	6.77862118764535	6.64458266544029	6.73838544753045	6.50049207785733
ENSG00000011426	10.1276735924151	10.2024937392114	10.0276069474296	9.82782560468662
ENSG00000011451	6.95845042771141	7.28035527490163	6.72825035293537	7.13027078903916
ENSG00000011454	8.24722233068169	7.79757352059591	8.27379781656378	8.15315725712023
ENSG00000011465	9.2472144173174	9.11892280776567	7.86195416794869	7.52020310144014
ENSG00000011478	7.05648721898586	7.19566654983274	6.93602135024699	6.93331718157138
ENSG00000011485	8.50379001348828	8.34869678345477	8.3050925949413	8.34785989070043
ENSG00000011523	7.10297793248581	7.07892408085038	7.8594732421822	7.78101217777535
ENSG00000011566	6.56996622175997	6.59748362273235	6.85493612909016	7.08425718948878
ENSG00000011590	-0.470189703237161	-0.426902109985659	-0.445832679785692	-0.470168183783772
ENSG00000011600	0	0	0	0
ENSG00000011638	2.90572810897432	4.15111588345145	2.90943679097193	2.90640988397647
ENSG00000011677	6.08406708843962	5.97048684718229	6.32205808302012	6.27538983243912
ENSG00000012048	8.39878057296819	8.41598724046338	8.12080403874872	7.58089289573382
ENSG00000012061	7.80888613649831	7.62750182067213	8.08507347481126	8.1474121374051
ENSG00000012124	1.2090869457453	1.31048219878808	1.18652743112642	1.25399643842029
